Game_Title,Platform,Release_Date,Meta_Score,User_Score
The Legend of Zelda: Ocarina of Time,Nintendo64,,99,9.1
Tony Hawk's Pro Skater 2,PlayStation,,98,7.4
Grand Theft Auto IV,PlayStation3,,98,7.6
SoulCalibur,Dreamcast,,98,8.5
Grand Theft Auto IV,Xbox360,,98,7.9
Super Mario Galaxy,Wii,,97,9.0
Super Mario Galaxy 2,Wii,2010-05-23,97,9.1
Red Dead Redemption 2,XboxOne,,97,7.8
Grand Theft Auto V,XboxOne,,97,7.8
Grand Theft Auto V,PlayStation3,,97,8.3
Grand Theft Auto V,Xbox360,,97,8.3
Tony Hawk's Pro Skater 2,Dreamcast,,97,6.2
The Legend of Zelda: Breath of the Wild,Switch,,97,8.6
Tony Hawk's Pro Skater 3,PlayStation2,,97,7.6
Perfect Dark,Nintendo64,2000-05-22,97,8.9
Red Dead Redemption 2,PlayStation4,,97,8.4
Grand Theft Auto V,PlayStation4,,97,8.4
Metroid Prime,GameCube,,97,9.2
Grand Theft Auto III,PlayStation2,,97,8.4
Super Mario Odyssey,Switch,,97,8.9
Halo: Combat Evolved,Xbox,,97,8.5
NFL 2K1,Dreamcast,,97,6.4
Half-Life 2,PC,,96,9.1
Grand Theft Auto V,PC,,96,7.8
The Legend of Zelda: Breath of the Wild,WiiU,,96,8.2
BioShock,Xbox360,,96,8.9
GoldenEye 007,Nintendo64,,96,9.0
Uncharted 2: Among Thieves,PlayStation3,,96,8.8
Resident Evil 4,GameCube,,96,9.2
The Orange Box,Xbox360,,96,8.8
The Orange Box,PC,,96,9.2
Batman: Arkham City,PlayStation3,,96,8.8
Tekken 3,PlayStation,,96,9.1
Mass Effect 2,Xbox360,,96,8.9
The Legend of Zelda: Twilight Princess,GameCube,,96,8.9
The Elder Scrolls V: Skyrim,Xbox360,,96,8.6
Half-Life,PC,,96,9.0
Resident Evil 4,PlayStation2,,96,9.0
The Legend of Zelda: The Wind Waker,GameCube,,96,9.0
Gran Turismo,PlayStation,,96,8.7
BioShock,PC,,96,8.6
Metal Gear Solid 2: Sons of Liberty,PlayStation2,,96,8.8
Grand Theft Auto Double Pack,Xbox,,96,8.0
Baldur's Gate II: Shadows of Amn,PC,,95,9.1
Grand Theft Auto: San Andreas,PlayStation2,,95,9.1
Grand Theft Auto: Vice City,PlayStation2,,95,8.8
LittleBigPlanet,PlayStation3,,95,6.8
The Legend of Zelda Collector's Edition,GameCube,,95,9.0
